"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\AssignAdminPermSet.cls","6","8","AvoidGlobalModifier","Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"2","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\AssignAdminPermSet.cls","12","5","EmptyStatementBlock","Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"3","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","AvoidGlobalModifier","Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"4","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","StdCyclomaticComplexity","The class 'HistoryTrackingService' has a Standard Cyclomatic Complexity of 26 (Highest = 73).","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"5","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","CognitiveComplexity","The class 'HistoryTrackingService' has a total cognitive complexity of 397 (highest 395), current threshold is 50","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"6","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","6","24","CyclomaticComplexity","The class 'HistoryTrackingService' has a total cyclomatic complexity of 96 (highest 92).","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"7","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","19","19","StdCyclomaticComplexity","The method 'track' has a Standard Cyclomatic Complexity of 73.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"8","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","19","19","NcssMethodCount","The method 'track()' has an NCSS line count of 278 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"9","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","19","19","CognitiveComplexity","The method 'track(List<Sobject>, Map<Id, sObject>, String)' has a cognitive complexity of 395, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"10","3","3","C:\Users\Mark Meyer\Documents\mega-history\force-app\main\default\classes\HistoryTrackingService.cls","19","19","CyclomaticComplexity","The method 'track(List<Sobject>, Map<Id, sObject>, String)' has a cyclomatic complexity of 92.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
